tier,epochs,has_redshift,anchor_phase_days,median,percentile_16,percentile_84,minimum,maximum
deep,2,False,4.03,0.9998047351837158,0.9997779870033264,0.9998217272758484,0.9997404217720032,0.9998378753662109
deep,2,False,4.13,0.9998362064361572,0.9998127770423889,0.9998507833480835,0.9997832179069519,0.9998652935028076
deep,2,False,4.23,0.9998632669448853,0.9998428678512573,0.9998757076263428,0.9998175501823425,0.999889612197876
deep,2,False,4.33,0.9998871088027954,0.9998688840866089,0.9998989915847778,0.9998470544815063,0.9999227523803711
deep,2,False,4.43,0.9999215602874756,0.9998953533172608,0.9999303722381592,0.9998756647109985,0.99993896484375
deep,2,False,4.53,0.9999420642852783,0.9999315309524536,0.9999481153488159,0.999915599822998,0.9999563694000244
deep,2,False,4.63,0.9999585151672363,0.9999485874176025,0.999962797164917,0.99993896484375,0.9999673366546631
deep,2,False,4.73,0.9999686479568481,0.999963173866272,0.9999717378616333,0.9999561309814453,0.9999752044677734
deep,2,False,4.83,0.9999761581420898,0.9999722242355347,0.9999783039093018,0.999967098236084,0.9999808073043823
deep,2,False,4.93,0.9999815225601196,0.99997878074646,0.9999830722808838,0.9999752044677734,0.9999849796295166
deep,2,False,5.03,0.9999854564666748,0.9999833106994629,0.9999865198135376,0.9999806880950928,0.9999878406524658
deep,2,False,5.13,0.9999881386756897,0.9999865388870239,0.9999889135360718,0.9999847412109375,0.9999898672103882
deep,2,False,5.23,0.9999902248382568,0.9999890422821045,0.999990701675415,0.9999877214431763,0.9999914169311523
deep,2,False,5.33,0.9999915361404419,0.9999908208847046,0.9999918842315674,0.9999897480010986,0.9999923706054688
deep,2,True,1.43,0.9998501539230347,0.9998394823074341,0.9998567438125611,0.999825656414032,0.9998641014099121
deep,2,True,1.53,0.9998580813407898,0.9998475694656372,0.9998646116256714,0.9998338222503662,0.9998719692230225
deep,2,True,1.63,0.9998659491539001,0.9998555564880371,0.9998724794387818,0.9998420476913452,0.9998797178268433
deep,2,True,1.73,0.9998736381530762,0.9998635339736939,0.999880108833313,0.9998500347137451,0.999887228012085
deep,2,True,1.83,0.9998812675476074,0.999871392250061,0.9998876285552979,0.9998581409454346,0.9998946189880371
deep,2,True,1.93,0.9998887777328491,0.9998790216445923,0.9998950099945069,0.9998661279678345,0.9999017715454102
deep,2,True,2.03,0.9998960494995117,0.9998866415023804,0.9999021720886231,0.9998741149902344,0.999908447265625
deep,2,True,2.13,0.9999030828475952,0.9998940229415894,0.9999086856842041,0.9998819828033447,0.9999158382415771
deep,2,True,2.23,0.999909520149231,0.9999011754989624,0.999914288520813,0.9998894929885864,0.9999232292175293
deep,2,True,2.33,0.9999162554740906,0.9999078512191772,0.9999213218688965,0.9998966455459595,0.9999285936355591
deep,2,True,2.43,0.9999216198921204,0.9999125957489013,0.9999263191223144,0.9999022483825684,0.9999326467514038
deep,2,True,2.53,0.9999232292175293,0.9999146604537964,0.9999278688430786,0.999903678894043,0.999934196472168
deep,2,True,2.63,0.999924898147583,0.9999170970916748,0.9999295377731323,0.9999048709869385,0.9999353885650635
deep,2,True,2.73,0.9999266266822815,0.9999192237854004,0.9999309682846069,0.9999061822891235,0.9999363422393799
deep,2,True,2.83,0.9999279379844666,0.9999210214614869,0.9999325275421143,0.9999078512191772,0.9999374151229858
deep,2,True,2.93,0.9999292492866516,0.9999228715896606,0.9999338388442993,0.9999096393585205,0.9999386072158813
deep,2,True,3.03,0.9999305009841919,0.9999240827560425,0.9999352312088012,0.9999115467071533,0.9999396800994873
deep,2,True,3.13,0.9999318718910217,0.9999253940582276,0.9999361848831176,0.9999133348464966,0.9999408721923828
deep,2,True,3.23,0.9999330043792725,0.9999266958236694,0.9999373769760131,0.9999147653579712,0.9999423027038574
deep,2,True,3.33,0.9999341368675232,0.9999278783798218,0.9999385690689087,0.9999159574508667,0.9999433755874634
deep,2,True,3.43,0.9999375939369202,0.9999313354492188,0.9999417972564697,0.9999210834503174,0.9999464750289917
deep,2,True,3.53,0.999945878982544,0.9999394893646241,0.9999497938156128,0.999933123588562,0.9999547004699707
deep,2,True,3.63,0.9999533891677856,0.9999475145339966,0.9999570751190185,0.9999409914016724,0.9999618530273438
deep,2,True,3.73,0.9999605417251587,0.9999552345275879,0.9999636316299438,0.9999490976333618,0.9999676942825317
deep,2,True,3.83,0.999966561794281,0.9999623394012451,0.9999692440032959,0.9999569654464722,0.9999731779098511
deep,2,True,3.93,0.9999721646308899,0.9999680709838867,0.999974479675293,0.9999634027481079,0.9999786615371704
deep,2,True,4.03,0.9999772906303406,0.9999732351303101,0.999979248046875,0.9999690055847168,0.9999822378158569
deep,2,True,4.13,0.9999814033508301,0.9999782133102417,0.9999830722808838,0.9999744892120361,0.9999847412109375
deep,2,True,4.23,0.9999841451644897,0.9999822568893433,0.9999849796295166,0.9999796152114868,0.9999864101409912
deep,2,True,4.33,0.9999860525131226,0.9999846410751343,0.9999868869781494,0.9999829530715942,0.9999884366989136
deep,2,True,4.43,0.9999882578849792,0.9999865484237671,0.9999891519546509,0.9999850988388062,0.9999904632568359
deep,2,True,4.53,0.999990701675415,0.9999891710281372,0.9999914169311523,0.9999876022338867,0.9999924898147583
deep,2,True,4.63,0.9999926090240479,0.9999914264678955,0.9999932050704956,0.9999901056289673,0.9999940395355225
deep,2,True,4.73,0.999994158744812,0.9999932146072388,0.9999945163726807,0.9999921321868896,0.9999955892562866
